asset_id,existing_financing_amount,exposure_limit,lender_id,ts,source
A1000,2187591.87,4456270.88,lender_north,1787917956.860335,financial_system
A1001,0,8352971.14,lender_north,1787917956.8603451,financial_system
A1002,0,17656832.86,lender_prime,1787917956.860353,financial_system
A1003,316400.94,1052443.82,lender_atlas,1787917956.860359,financial_system
A1004,11919827.96,24124536.16,lender_prime,1787917956.8603652,financial_system
A1005,0,23213876.3,lender_prime,1787917956.860369,financial_system
A1006,4536058.62,7048550.91,lender_atlas,1787917956.8603761,financial_system
A1007,0,23644992.13,lender_delta,1787917956.8603818,financial_system
A1008,0,4267510.96,lender_prime,1787917956.860387,financial_system
A1009,0,32587934.51,lender_prime,1787917956.860391,financial_system
A1010,0,26064271.83,lender_prime,1787917956.8603961,financial_system
A1011,11910377.7,26476165.63,lender_atlas,1787917956.860401,financial_system
A1012,2931392.26,4063207.09,lender_atlas,1787917956.860446,financial_system
A1013,0,7640985.46,lender_atlas,1787917956.860451,financial_system
A1014,81565.92,749618.55,lender_atlas,1787917956.860456,financial_system
A1015,0,11288075.47,lender_north,1787917956.86046,financial_system
A1016,0,2169473.28,lender_atlas,1787917956.860474,financial_system
A1017,12001716.17,25552756.73,lender_prime,1787917956.860492,financial_system
A1018,0,18650343.09,lender_atlas,1787917956.860499,financial_system
A1019,2188821.5,3099079.88,lender_north,1787917956.8605042,financial_system
A1020,0,3218455.72,lender_delta,1787917956.860508,financial_system
A1021,0,43100500.73,lender_north,1787917956.8605142,financial_system
A1022,1018040.56,5402995.41,lender_prime,1787917956.860519,financial_system
A1023,0,10598831.9,lender_prime,1787917956.860523,financial_system
A1024,3894338.16,9994908.32,lender_north,1787917956.860527,financial_system
A1025,0,449349.76,lender_north,1787917956.86065,financial_system
A1026,1506931.82,4768336.86,lender_north,1787917956.860708,financial_system
A1027,7696530.29,17966348.79,lender_delta,1787917956.8607192,financial_system
A1028,0,25941153.76,lender_atlas,1787917956.860728,financial_system
A1029,0,15531753.39,lender_atlas,1787917956.860736,financial_system
A1030,623340.71,3316727.86,lender_atlas,1787917956.860744,financial_system
A1031,325225.81,891180.05,lender_north,1787917956.8607512,financial_system
A1032,276948.51,2080560.46,lender_north,1787917956.860784,financial_system
A1033,0,39622759.06,lender_north,1787917956.860806,financial_system
A1034,0,13015921.98,lender_prime,1787917956.8608131,financial_system
A1035,0,22639834.84,lender_atlas,1787917956.8608232,financial_system
A1036,34091.59,6313691.2,lender_delta,1787917956.86083,financial_system
A1037,1420475.2,1805788.71,lender_delta,1787917956.860841,financial_system
A1038,3725517.43,14345024.68,lender_delta,1787917956.8608482,financial_system
A1039,0,29107215.52,lender_atlas,1787917956.860855,financial_system
A1040,318229.67,10535349.08,lender_prime,1787917956.8608708,financial_system
A1041,0,7630614.37,lender_north,1787917956.860888,financial_system
A1042,12242713.33,18647725.5,lender_north,1787917956.860896,financial_system
A1043,19836676.39,23868700.18,lender_north,1787917956.860904,financial_system
A1044,0,3422083.51,lender_north,1787917956.8609228,financial_system
A1045,0,4007137.8,lender_north,1787917956.860947,financial_system
A1046,11838717.27,23463505.85,lender_delta,1787917956.86099,financial_system
A1047,29570.29,16223502.55,lender_north,1787917956.8610198,financial_system
A1048,0,2500606.32,lender_north,1787917956.8610299,financial_system
A1049,12296656.34,23132831.5,lender_atlas,1787917956.861057,financial_system
A1050,5329997.11,37381104.66,lender_prime,1787917956.8610618,financial_system
A1051,1790657.69,2770990.38,lender_prime,1787917956.861067,financial_system
A1052,5959047.7,9803266.83,lender_north,1787917956.8610718,financial_system
A1053,0,6092778.85,lender_atlas,1787917956.861078,financial_system
A1054,4425708.28,6913946.32,lender_prime,1787917956.8610828,financial_system
A1055,0,272694.79,lender_north,1787917956.861087,financial_system
A1056,0,20967579.44,lender_prime,1787917956.861092,financial_system
A1057,1235716.23,5612722.61,lender_prime,1787917956.8610969,financial_system
A1058,0,35370574.07,lender_atlas,1787917956.8611012,financial_system
A1059,0,14807636.99,lender_prime,1787917956.861105,financial_system
A1060,0,13128316.47,lender_north,1787917956.86111,financial_system
A1061,0,7019009.93,lender_delta,1787917956.861114,financial_system
A1062,0,3292785.57,lender_prime,1787917956.8611178,financial_system
A1063,0,40873161.68,lender_north,1787917956.8611221,financial_system
A1064,0,12506192.53,lender_north,1787917956.861127,financial_system
A1065,6770758.07,11437722.25,lender_prime,1787917956.861131,financial_system
A1066,0,13172681.9,lender_north,1787917956.861136,financial_system
A1067,0,532639.51,lender_delta,1787917956.86114,financial_system
A1068,0,1241946.39,lender_atlas,1787917956.8611462,financial_system
A1069,497753.26,3920452.88,lender_prime,1787917956.86115,financial_system
A1070,0,8706879.31,lender_delta,1787917956.861155,financial_system
A1071,3567270.73,30830631.57,lender_atlas,1787917956.8611588,financial_system
A1072,21316503.98,45643354.99,lender_delta,1787917956.861164,financial_system
A1073,0,3814111.48,lender_delta,1787917956.8611681,financial_system
A1074,0,6168232.62,lender_north,1787917956.861173,financial_system
A1075,11368635.4,25247174.69,lender_prime,1787917956.8611772,financial_system
A1076,3792734.75,5696786.95,lender_north,1787917956.861182,financial_system
A1077,0,11442119.35,lender_delta,1787917956.861187,financial_system
A1078,2345293.74,3255039.1,lender_atlas,1787917956.8611908,financial_system
A1079,2884773.11,11298016.08,lender_delta,1787917956.861196,financial_system
A1080,0,21114133.95,lender_delta,1787917956.8611999,financial_system
