record_id,buyer_risk_score,buyer_payment_history,supplier_reliability,production_delay_days,shipment_delay_days,payment_delay_days,inventory_age_days,deterioration,invoice_dispute_flag,duplicate_financing_flag,source_confidence,stage_progress,advance_rate_requested,financing_utilization,demand_volatility,order_value,adverse_outcome
H000001,0.13719,0.86998,0.88226,3.0,1.46,6.22,0.0,0,0,0,0.81259,0.14286,0.64417,0.41224,0.44802,420583.09,0
H000002,0.25964,0.82436,0.57896,2.05,0.67,0.0,3.17,0,0,0,1.0,0.42857,0.46275,0.37097,0.00253,758453.14,1
H000003,0.08359,0.78271,0.84778,2.29,6.03,8.16,8.33,0,0,0,0.87136,0.14286,0.60855,0.61447,0.40709,863796.43,0
H000004,0.24285,0.57082,0.87727,10.48,1.9,0.0,0.0,0,0,0,0.6774,0.42857,0.34877,0.75385,0.57009,583263.61,1
H000005,0.07593,0.93579,0.87276,2.4,0.0,0.0,66.35,0,0,0,0.90204,0.71429,0.66358,0.8171,0.35014,512420.16,0
H000006,0.24988,0.87571,0.66727,0.0,5.19,12.11,25.78,0,0,0,0.85804,0.42857,0.50232,0.62808,0.50271,384273.83,1
H000007,0.2336,0.90384,0.78819,2.0,7.38,0.0,22.68,0,0,0,0.82628,0.57143,0.48334,0.55539,0.38121,648922.77,0
H000008,0.25138,0.74605,0.58544,2.32,6.55,0.34,29.56,0,0,0,1.0,0.0,0.40819,0.0,0.4878,254679.7,0
H000009,0.10226,0.59881,0.61698,0.0,0.0,5.35,39.73,0,0,0,0.86999,0.85714,0.51841,0.57159,0.27253,340362.16,0
H000010,0.23079,0.74627,0.79902,4.15,1.64,0.0,36.87,0,0,0,1.0,0.28571,0.25492,0.68444,0.2605,201937.65,0
H000011,0.37222,0.61127,0.73496,0.0,6.61,5.93,9.78,0,0,0,1.0,0.71429,0.70374,0.39993,0.17881,1127177.77,1
H000012,0.35481,0.85106,0.33275,2.44,0.0,0.75,22.59,0,0,0,0.95057,0.57143,0.35866,0.21412,0.30806,194838.43,0
H000013,0.2769,0.89034,0.8029,0.0,1.4,13.56,11.48,0,0,0,0.8011,0.42857,0.52872,0.46682,0.20641,221485.75,0
H000014,0.31818,0.64777,0.80304,1.27,1.68,2.57,49.07,0,0,0,1.0,1.0,0.56262,0.27356,0.13345,468891.14,0
H000015,0.47276,0.79581,0.79978,0.26,5.41,5.78,26.87,0,0,0,0.7145,0.85714,0.69663,0.92471,0.44984,223442.23,1
