asset_id,invoice_id,issued,disputed,payment_delay_days,ts,source
A1000,,False,False,2.7,1787313097.85589,invoice_system
A1001,INV21001,True,False,3.4,1787676621.8558989,invoice_system
A1002,INV21002,True,False,15.1,1786597416.855905,invoice_system
A1003,INV21003,True,False,1.8,1786457233.8559098,invoice_system
A1004,INV21004,True,False,4.2,1787518473.855915,invoice_system
A1005,INV21005,True,False,0,1785452601.85592,invoice_system
A1006,,False,False,0.9,1786668124.855925,invoice_system
A1007,INV21007,True,False,15.5,1786927552.8559291,invoice_system
A1008,INV21008,True,False,6.5,1786109731.855934,invoice_system
A1009,INV21009,True,False,2.7,1787040853.855938,invoice_system
A1010,,False,False,0,1785504194.855943,invoice_system
A1011,,False,False,0,1787405593.855947,invoice_system
A1012,,False,False,0,1786754185.855951,invoice_system
A1013,,False,False,1.8,1787430211.855956,invoice_system
A1014,INV21014,True,False,3.6,1787223263.8559601,invoice_system
A1015,,False,False,3.7,1787863391.855965,invoice_system
A1016,INV21016,True,False,1.0,1787660465.855969,invoice_system
A1017,INV21017,True,False,4.1,1786693813.855973,invoice_system
A1018,,False,False,6.0,1787033345.855977,invoice_system
A1019,INV21019,True,False,1.3,1786199564.855981,invoice_system
A1020,INV21020,True,False,3.7,1787304400.855985,invoice_system
A1021,INV21021,True,False,0,1786247961.85599,invoice_system
A1022,,False,False,0.1,1785898974.8559942,invoice_system
A1023,,False,False,17.2,1787202530.855998,invoice_system
A1024,INV21024,True,False,0,1787852607.8560011,invoice_system
A1025,INV21025,True,False,2.5,1786283067.8560052,invoice_system
A1026,,False,False,3.2,1787233185.85601,invoice_system
A1027,,False,False,5.1,1786902748.856014,invoice_system
A1028,INV21028,True,True,15.1,1786669635.8560178,invoice_system
A1029,,False,False,5.2,1786794233.8560221,invoice_system
A1030,,False,False,2.0,1787331967.8560278,invoice_system
A1031,,False,False,7.2,1787058053.856032,invoice_system
A1032,,False,False,0,1786167194.8560379,invoice_system
A1033,INV21033,True,False,1.0,1785407398.856042,invoice_system
A1034,,False,False,1.1,1787265008.856046,invoice_system
A1035,INV21035,True,False,1.4,1785657562.856051,invoice_system
A1036,,False,False,9.1,1785994923.856055,invoice_system
A1037,INV21037,True,False,0,1786113401.8560588,invoice_system
A1038,INV21038,True,False,5.9,1785897998.856063,invoice_system
A1039,INV21039,True,False,0,1786604183.8560672,invoice_system
A1040,INV21040,True,False,11.3,1787368593.856071,invoice_system
A1041,INV21041,True,True,0,1786199476.856075,invoice_system
A1042,,False,False,0,1787134885.8560798,invoice_system
A1043,INV21043,True,False,0,1786698044.856085,invoice_system
A1044,INV21044,True,False,3.8,1785502134.856089,invoice_system
A1045,,False,False,0,1786076437.856093,invoice_system
A1046,INV21046,True,False,6.5,1785695501.856098,invoice_system
A1047,,False,False,7.4,1786819782.856102,invoice_system
A1048,INV21048,True,False,0,1785819104.856106,invoice_system
A1049,,False,False,2.8,1786032936.85611,invoice_system
A1050,,False,False,0,1787346142.856114,invoice_system
A1051,INV21051,True,True,3.7,1786489845.856118,invoice_system
A1052,INV21052,True,False,9.3,1787821718.856122,invoice_system
A1053,INV21053,True,False,0.1,1785566097.856126,invoice_system
A1054,,False,False,0,1787032635.8561301,invoice_system
A1055,INV21055,True,False,6.4,1786292119.856134,invoice_system
A1056,INV21056,True,False,0,1786681371.856138,invoice_system
A1057,INV21057,True,False,0,1785993596.856142,invoice_system
A1058,INV21058,True,False,12.1,1787560826.856147,invoice_system
A1059,INV21059,True,False,0,1786143065.856151,invoice_system
A1060,INV21060,True,False,0,1786519102.8561559,invoice_system
A1061,INV21061,True,False,17.8,1785935988.85616,invoice_system
A1062,,False,False,11.0,1787756297.856164,invoice_system
A1063,INV21063,True,False,0,1786348667.8561668,invoice_system
A1064,,False,False,3.6,1787001062.856171,invoice_system
A1065,,False,False,2.9,1786104786.8561761,invoice_system
A1066,INV21066,True,False,16.5,1785770714.856179,invoice_system
A1067,INV21067,True,False,7.4,1786915270.856183,invoice_system
A1068,INV21068,True,True,7.4,1787827635.8561869,invoice_system
A1069,,False,False,13.1,1786286944.856191,invoice_system
A1070,INV21070,True,False,6.9,1786110070.856195,invoice_system
A1071,INV21071,True,True,14.6,1786362549.856199,invoice_system
A1072,INV21072,True,False,0,1786840622.856203,invoice_system
A1073,INV21073,True,False,0,1786466548.8562071,invoice_system
A1074,INV21074,True,False,0.2,1787448082.856212,invoice_system
A1075,INV21075,True,False,6.3,1785874812.856216,invoice_system
A1076,,False,False,0,1786686882.85622,invoice_system
A1077,INV21077,True,False,9.8,1786082614.856225,invoice_system
A1078,,False,False,9.2,1787044375.856229,invoice_system
A1079,,False,False,4.4,1785629971.856233,invoice_system
A1080,,False,False,5.3,1785797317.8562372,invoice_system
A1081,,False,False,11.9,1787870990.856241,invoice_system
A1082,INV21082,True,False,5.8,1787710730.856246,invoice_system
A1083,,False,False,11.3,1786763385.85625,invoice_system
A1084,INV21084,True,False,0.9,1785603882.8562539,invoice_system
A1085,,False,False,0,1786617682.856259,invoice_system
A1086,INV21086,True,False,2.7,1786552288.8562639,invoice_system
A1087,,False,False,4.9,1786192439.856268,invoice_system
A1088,,False,False,0,1787461479.856273,invoice_system
A1089,INV21089,True,False,2.4,1787604770.856277,invoice_system
A1090,INV21090,True,False,2.2,1785606591.85628,invoice_system
A1091,INV21091,True,False,0,1786368954.8562849,invoice_system
A1092,INV21092,True,False,4.2,1786905016.856289,invoice_system
A1093,,False,False,0.9,1787373385.8562932,invoice_system
A1094,,False,False,5.8,1786534576.856298,invoice_system
A1095,INV21095,True,True,0,1786946134.856301,invoice_system
A1096,INV21096,True,False,3.1,1786682294.8563058,invoice_system
A1097,INV21097,True,False,0,1785988594.856309,invoice_system
A1098,INV21098,True,False,0.1,1785622794.856313,invoice_system
A1099,INV21099,True,False,10.0,1787345692.856318,invoice_system
A1100,INV21100,True,False,0,1787212857.856322,invoice_system
A1101,INV21101,True,False,9.3,1787568987.8563251,invoice_system
A1102,INV21102,True,False,0,1787906282.85633,invoice_system
A1103,INV21103,True,False,18.1,1787750337.856334,invoice_system
A1104,,False,False,9.4,1786902271.856338,invoice_system
A1105,INV21105,True,False,0,1785618590.856342,invoice_system
A1106,INV21106,True,False,0,1785940943.8563461,invoice_system
A1107,INV21107,True,False,10.0,1785955644.85635,invoice_system
A1108,INV21108,True,False,0,1786046573.856354,invoice_system
A1109,INV21109,True,False,0,1785677343.8563578,invoice_system
A1110,INV21110,True,False,18.3,1785819225.8563619,invoice_system
A1111,INV21111,True,False,2.4,1786648753.856367,invoice_system
A1112,INV21112,True,False,15.2,1786163053.856371,invoice_system
A1113,,False,False,15.8,1785428479.856375,invoice_system
A1114,INV21114,True,False,4.4,1786217735.8563788,invoice_system
A1115,INV21115,True,False,7.5,1785898709.856383,invoice_system
A1116,INV21116,True,False,6.8,1785676004.856386,invoice_system
A1117,INV21117,True,False,0,1787236179.856392,invoice_system
A1118,,False,False,5.4,1787407349.856396,invoice_system
A1119,INV21119,True,False,18.1,1786041881.856401,invoice_system
A1120,INV21120,True,False,3.8,1787294926.856405,invoice_system
A1121,INV21121,True,False,0.1,1787553439.856409,invoice_system
A1122,INV21122,True,False,0,1786363108.856413,invoice_system
A1123,INV21123,True,False,0,1786634833.856417,invoice_system
A1124,INV21124,True,False,7.9,1785896247.8564212,invoice_system
A1125,,False,False,0,1786173753.856426,invoice_system
A1126,INV21126,True,False,0,1787732681.856431,invoice_system
A1127,,False,False,8.2,1787469591.856435,invoice_system
A1128,INV21128,True,False,3.2,1787762048.856439,invoice_system
A1129,INV21129,True,False,2.9,1787460353.8564422,invoice_system
A1130,INV21130,True,False,4.6,1785686721.856447,invoice_system
A1131,INV21131,True,False,2.7,1787581774.856451,invoice_system
A1132,INV21132,True,False,0,1786320194.8564548,invoice_system
A1133,INV21133,True,False,5.0,1785427122.856459,invoice_system
A1134,INV21134,True,False,7.2,1787444545.8564632,invoice_system
A1135,INV21135,True,True,0,1787227759.856467,invoice_system
A1136,INV21136,True,False,0,1787095770.856471,invoice_system
A1137,,False,False,0,1785515329.8564749,invoice_system
A1138,,False,False,4.2,1785494364.856479,invoice_system
A1139,,False,False,0,1787424644.856483,invoice_system
A1140,INV21140,True,False,6.8,1786135998.8564868,invoice_system
A1141,,False,False,0,1786550535.856492,invoice_system
A1142,INV21142,True,False,0.4,1786199434.856496,invoice_system
A1143,,False,False,2.3,1786565289.8565,invoice_system
A1144,INV21144,True,False,6.9,1786472930.856504,invoice_system
A1145,INV21145,True,False,3.3,1786404574.856508,invoice_system
A1146,INV21146,True,False,0,1785541019.856512,invoice_system
A1147,,False,False,2.5,1787121446.8565161,invoice_system
A1148,INV21148,True,False,9.8,1786764796.856521,invoice_system
A1149,INV21149,True,False,12.1,1787865494.856525,invoice_system
A1150,INV21150,True,False,7.4,1785903983.856529,invoice_system
A1151,INV21151,True,False,14.8,1787463196.856533,invoice_system
A1152,INV21152,True,False,4.0,1786807338.856537,invoice_system
A1153,INV21153,True,False,0,1785524040.856541,invoice_system
A1154,,False,False,0,1787719426.856545,invoice_system
A1155,INV21155,True,False,14.6,1786443111.856549,invoice_system
A1156,,False,False,0,1785980383.856554,invoice_system
