asset_id,shipment_created,shipment_delay_days,location,ts,source
A1000,False,3.5,regional_hub,1787280697.85589,logistics
A1001,True,0.02,supplier_facility,1787665821.8558989,logistics
A1002,True,2.9,in_transit,1786565016.855905,logistics
A1003,False,1.17,supplier_facility,1786439233.8559098,logistics
A1004,True,2.68,in_transit,1787486073.855915,logistics
A1005,False,2.84,in_transit,1785409401.85592,logistics
A1006,True,1.02,regional_hub,1786642924.855925,logistics
A1007,True,0.44,customer_dc,1786938352.8559291,logistics
A1008,True,5.72,regional_hub,1786073731.855934,logistics
A1009,False,0.67,in_transit,1787030053.855938,logistics
A1010,True,4.91,customer_dc,1785493394.855943,logistics
A1011,False,2.14,supplier_facility,1787373193.855947,logistics
A1012,False,1.05,supplier_facility,1786772185.855951,logistics
A1013,False,0,regional_hub,1787401411.855956,logistics
A1014,False,0,customer_dc,1787187263.8559601,logistics
A1015,False,3.12,customer_dc,1787805791.855965,logistics
A1016,False,0,customer_dc,1787649665.855969,logistics
A1017,True,6.79,supplier_facility,1786665013.855973,logistics
A1018,False,3.02,regional_hub,1787004545.855977,logistics
A1019,False,6.54,regional_hub,1786159964.855981,logistics
A1020,False,6.61,customer_dc,1787257600.855985,logistics
A1021,True,7.14,in_transit,1786247961.85599,logistics
A1022,True,4.77,regional_hub,1785880974.8559942,logistics
A1023,False,0.96,supplier_facility,1787180930.855998,logistics
A1024,False,6.48,regional_hub,1787809407.8560011,logistics
A1025,False,3.6,supplier_facility,1786279467.8560052,logistics
A1026,False,0,supplier_facility,1787204385.85601,logistics
A1027,True,0.8,in_transit,1786873948.856014,logistics
A1028,False,3.64,in_transit,1786655235.8560178,logistics
A1029,True,6.55,regional_hub,1786783433.8560221,logistics
A1030,False,4.49,supplier_facility,1787299567.8560278,logistics
A1031,False,0.58,customer_dc,1787050853.856032,logistics
A1032,True,4.27,regional_hub,1786167194.8560379,logistics
A1033,False,0.71,regional_hub,1785396598.856042,logistics
A1034,False,3.02,customer_dc,1787247008.856046,logistics
A1035,True,0,customer_dc,1785650362.856051,logistics
A1036,True,5.67,customer_dc,1785948123.856055,logistics
A1037,False,4.06,customer_dc,1786063001.8560588,logistics
A1038,False,5.46,regional_hub,1785872798.856063,logistics
A1039,False,0,customer_dc,1786607783.8560672,logistics
A1040,False,1.59,in_transit,1787332593.856071,logistics
A1041,False,0,in_transit,1786141876.856075,logistics
A1042,False,3.16,regional_hub,1787142085.8560798,logistics
A1043,True,6.09,supplier_facility,1786716044.856085,logistics
A1044,True,2.33,in_transit,1785473334.856089,logistics
A1045,True,5.82,customer_dc,1786033237.856093,logistics
A1046,False,5.64,in_transit,1785670301.856098,logistics
A1047,True,1.43,customer_dc,1786790982.856102,logistics
A1048,True,5.66,supplier_facility,1785833504.856106,logistics
A1049,False,5.32,customer_dc,1786022136.85611,logistics
A1050,False,0,regional_hub,1787306542.856114,logistics
A1051,False,1.57,supplier_facility,1786471845.856118,logistics
A1052,False,1.69,customer_dc,1787810918.856122,logistics
A1053,True,0,supplier_facility,1785548097.856126,logistics
A1054,True,2.51,supplier_facility,1787000235.8561301,logistics
A1055,True,0.63,customer_dc,1786256119.856134,logistics
A1056,False,0,in_transit,1786656171.856138,logistics
A1057,False,2.95,in_transit,1786004396.856142,logistics
A1058,True,9.62,regional_hub,1787542826.856147,logistics
A1059,False,4.32,customer_dc,1786114265.856151,logistics
A1060,False,2.15,customer_dc,1786475902.8561559,logistics
A1061,False,4.7,regional_hub,1785907188.85616,logistics
A1062,True,0.59,regional_hub,1787774297.856164,logistics
A1063,False,4.26,customer_dc,1786319867.8561668,logistics
A1064,False,0,customer_dc,1787004662.856171,logistics
A1065,True,4.06,supplier_facility,1786075986.8561761,logistics
A1066,True,0.85,in_transit,1785792314.856179,logistics
A1067,True,0,customer_dc,1786864870.856183,logistics
A1068,True,4.54,in_transit,1787773635.8561869,logistics
A1069,True,0,supplier_facility,1786268944.856191,logistics
A1070,True,4.68,regional_hub,1786066870.856195,logistics
A1071,True,0,in_transit,1786351749.856199,logistics
A1072,False,4.57,regional_hub,1786844222.856203,logistics
A1073,True,4.76,supplier_facility,1786423348.8562071,logistics
A1074,True,0,customer_dc,1787408482.856212,logistics
A1075,True,3.21,regional_hub,1785824412.856216,logistics
A1076,False,0.4,supplier_facility,1786676082.85622,logistics
A1077,False,1.33,supplier_facility,1786035814.856225,logistics
A1078,False,1.68,regional_hub,1787026375.856229,logistics
A1079,False,0.73,in_transit,1785608371.856233,logistics
A1080,True,2.87,in_transit,1785757717.8562372,logistics
A1081,True,4.18,customer_dc,1787845790.856241,logistics
A1082,False,2.46,regional_hub,1787671130.856246,logistics
A1083,False,4.92,in_transit,1786730985.85625,logistics
A1084,True,0,regional_hub,1785589482.8562539,logistics
A1085,False,0,customer_dc,1786581682.856259,logistics
A1086,False,1.19,supplier_facility,1786523488.8562639,logistics
A1087,False,3.42,in_transit,1786163639.856268,logistics
