asset_id,production_pct,production_delay_days,supplier_reliability,ts,source
A1000,75,7.89,0.896,1787262697.85589,production_system
A1001,66,1.16,0.7372,1787629821.8558989,production_system
A1002,77,3.95,0.8198,1786568616.855905,production_system
A1003,61,0,0.7161,1786414033.8559098,production_system
A1004,100,0,0.5121,1787468073.855915,production_system
A1005,25,0,0.7006,1785438201.85592,production_system
A1006,95,12.36,0.8876,1786617724.855925,production_system
A1007,67,1.62,0.7862,1786898752.8559291,production_system
A1008,100,7.01,0.6977,1786073731.855934,production_system
A1009,65,7.2,0.6516,1787004853.855938,production_system
A1010,100,6.44,0.885,1785489794.855943,production_system
A1011,62,6.48,0.882,1787362393.855947,production_system
A1012,52,4.2,0.8766,1786761385.855951,production_system
A1013,54,5.31,0.8362,1787397811.855956,production_system
A1014,80,5.15,0.7165,1787194463.8559601,production_system
A1015,50,1.23,0.6722,1787834591.855965,production_system
A1016,51,5.53,0.7059,1787638865.855969,production_system
A1017,86,3.99,0.7662,1786647013.855973,production_system
A1018,62,5.76,0.6305,1786993745.855977,production_system
A1019,73,0.52,0.3878,1786167164.855981,production_system
A1020,31,4.68,0.7847,1787261200.855985,production_system
A1021,84,6.41,0.8535,1786240761.85599,production_system
A1022,100,0,0.8733,1785895374.8559942,production_system
A1023,23,0,0.9391,1787155730.855998,production_system
A1024,65,1.46,0.7622,1787820207.8560011,production_system
A1025,100,8.74,0.6496,1786265067.8560052,production_system
A1026,59,3.71,0.5399,1787182785.85601,production_system
A1027,76,0.71,0.8155,1786863148.856014,production_system
A1028,31,4.41,0.8456,1786662435.8560178,production_system
A1029,89,0,0.8955,1786779833.8560221,production_system
A1030,49,0.53,0.9088,1787313967.8560278,production_system
A1031,19,1.54,0.6869,1787054453.856032,production_system
A1032,100,0,0.8389,1786138394.8560379,production_system
A1033,50,0,0.9562,1785410998.856042,production_system
A1034,18,1.2,0.8329,1787250608.856046,production_system
A1035,84,1.91,0.8214,1785632362.856051,production_system
A1036,93,10.05,0.7739,1785948123.856055,production_system
A1037,58,0.29,0.792,1786070201.8560588,production_system
A1038,56,3.74,0.8535,1785840398.856063,production_system
A1039,82,10.73,0.6704,1786604183.8560672,production_system
A1040,65,8.12,0.8708,1787307393.856071,production_system
A1041,61,2.27,0.8312,1786167076.856075,production_system
A1042,46,3.88,0.9044,1787152885.8560798,production_system
A1043,92,0,0.9255,1786705244.856085,production_system
A1044,74,0,0.7824,1785473334.856089,production_system
A1045,74,3.91,0.8914,1786040437.856093,production_system
A1046,61,0,0.8285,1785645101.856098,production_system
A1047,73,8.21,0.6459,1786772982.856102,production_system
A1048,89,0.11,0.6971,1785808304.856106,production_system
A1049,67,3.5,0.8612,1786022136.85611,production_system
A1050,31,7.05,0.7907,1787306542.856114,production_system
A1051,56,13.24,0.9453,1786471845.856118,production_system
A1052,66,0.83,0.9697,1787825318.856122,production_system
