po_id,asset_id,product_name,quantity,buyer_id,supplier_id,lender_id,agreed_price,buyer_risk_score,buyer_payment_history,supplier_reliability,payment_terms_days,created_ts,source
PO10000,A1000,medical devices,18524,buyer_beta,supplier_01,lender_north,298.92,0.4131,0.9516,0.896,30,1787244697.85589,erp
PO10001,A1001,textile rolls,10689,buyer_eta,supplier_06,lender_north,1150.37,0.3323,0.6891,0.7372,45,1787622621.8558989,erp
PO10002,A1002,laptop batteries,19465,buyer_alpha,supplier_11,lender_prime,1032.17,0.3519,0.7558,0.8198,45,1786554216.855905,erp
PO10003,A1003,auto components,2603,buyer_alpha,supplier_04,lender_atlas,505.35,0.0745,0.8726,0.7161,90,1786396033.8559098,erp
PO10004,A1004,LED panels,32843,buyer_delta,supplier_03,lender_prime,916.71,0.1171,0.8798,0.5121,60,1787446473.855915,erp
PO10005,A1005,laptop batteries,30235,buyer_epsilon,supplier_07,lender_prime,1146.43,0.1532,0.6813,0.7006,30,1785402201.85592,erp
PO10006,A1006,smartphones,7831,buyer_zeta,supplier_08,lender_atlas,1059.32,0.0759,0.9358,0.8876,45,1786606924.855925,erp
PO10007,A1007,medical devices,24972,buyer_eta,supplier_11,lender_delta,1083.55,0.2361,0.8659,0.7862,90,1786895152.8559291,erp
PO10008,A1008,laptop batteries,6681,buyer_theta,supplier_07,lender_prime,804.42,0.1795,0.7898,0.6977,30,1786055731.855934,erp
PO10009,A1009,medical devices,35927,buyer_beta,supplier_01,lender_prime,1164.04,0.1847,0.435,0.6516,60,1787001253.855938,erp
PO10010,A1010,medical devices,36033,buyer_alpha,supplier_10,lender_prime,907.65,0.074,0.9,0.885,45,1785486194.855943,erp
PO10011,A1011,smartphones,27974,buyer_alpha,supplier_10,lender_atlas,1124.26,0.1992,0.8695,0.882,60,1787358793.855947,erp
PO10012,A1012,laptop batteries,24717,buyer_zeta,supplier_02,lender_atlas,222.99,0.4339,0.7818,0.8766,60,1786732585.855951,erp
PO10013,A1013,textile rolls,13842,buyer_delta,supplier_12,lender_atlas,626.27,0.3289,0.7678,0.8362,90,1787379811.855956,erp
PO10014,A1014,textile rolls,3114,buyer_alpha,supplier_05,lender_atlas,283.69,0.1211,0.8937,0.7165,30,1787162063.8559601,erp
PO10015,A1015,auto components,44403,buyer_zeta,supplier_07,lender_north,349.49,0.6024,0.9663,0.6722,60,1787798591.855965,erp
PO10016,A1016,laptop batteries,38549,buyer_beta,supplier_05,lender_atlas,84.38,0.2343,0.5879,0.7059,90,1787620865.855969,erp
PO10017,A1017,textile rolls,43975,buyer_zeta,supplier_10,lender_prime,874.91,0.2058,0.768,0.7662,30,1786639813.855973,erp
PO10018,A1018,steel coils,38509,buyer_epsilon,supplier_04,lender_atlas,579.39,0.2503,0.9527,0.6305,60,1786972145.855977,erp
PO10019,A1019,smartphones,3528,buyer_delta,supplier_03,lender_north,1181.37,0.3309,0.8334,0.3878,30,1786131164.855981,erp
PO10020,A1020,auto components,46107,buyer_delta,supplier_03,lender_delta,98.25,0.1753,0.7726,0.7847,90,1787246800.855985,erp
PO10021,A1021,textile rolls,49768,buyer_theta,supplier_08,lender_north,1014.24,0.1818,0.8663,0.8535,90,1786204761.85599,erp
PO10022,A1022,steel coils,27748,buyer_zeta,supplier_09,lender_prime,279.93,0.2175,0.8911,0.8733,45,1785866574.8559942,erp
PO10023,A1023,steel coils,32327,buyer_delta,supplier_05,lender_prime,491.07,0.2864,0.8641,0.9391,90,1787152130.855998,erp
PO10024,A1024,steel coils,21953,buyer_alpha,supplier_05,lender_north,567.45,0.2532,0.7745,0.7622,30,1787784207.8560011,erp
PO10025,A1025,auto components,1835,buyer_delta,supplier_04,lender_north,316.71,0.3231,0.6967,0.6496,90,1786250667.8560052,erp
PO10026,A1026,LED panels,45760,buyer_delta,supplier_02,lender_north,158.21,0.3862,0.7996,0.5399,90,1787175585.85601,erp
