asset_id,received,condition,inventory_age_days,location_verified,ts,source
A1000,False,NORMAL,0.4,True,1787291497.85589,warehouse_iot
A1001,True,NORMAL,20.1,True,1787676621.8558989,warehouse_iot
A1002,True,NORMAL,0,True,1786583016.855905,warehouse_iot
A1003,False,NORMAL,9.7,True,1786435633.8559098,warehouse_iot
A1004,True,NORMAL,21.7,True,1787482473.855915,warehouse_iot
A1005,False,DETERIORATED,13.7,True,1785438201.85592,warehouse_iot
A1006,False,NORMAL,22.7,True,1786635724.855925,warehouse_iot
A1007,False,NORMAL,14.6,True,1786941952.8559291,warehouse_iot
A1008,True,NORMAL,27.3,True,1786106131.855934,warehouse_iot
A1009,False,NORMAL,15.3,True,1787055253.855938,warehouse_iot
A1010,True,NORMAL,21.9,True,1785529394.855943,warehouse_iot
A1011,False,NORMAL,16.8,True,1787373193.855947,warehouse_iot
A1012,False,NORMAL,4.5,True,1786761385.855951,warehouse_iot
A1013,False,NORMAL,37.9,True,1787405011.855956,warehouse_iot
A1014,False,NORMAL,9.1,True,1787183663.8559601,warehouse_iot
A1015,False,NORMAL,16.0,True,1787827391.855965,warehouse_iot
A1016,False,NORMAL,24.8,True,1787671265.855969,warehouse_iot
A1017,True,NORMAL,13.0,True,1786661413.855973,warehouse_iot
A1018,False,NORMAL,40.1,True,1787004545.855977,warehouse_iot
A1019,False,DETERIORATED,8.7,True,1786170764.855981,warehouse_iot
A1020,False,NORMAL,17.1,True,1787254000.855985,warehouse_iot
A1021,False,NORMAL,25.9,False,1786258761.85599,warehouse_iot
A1022,True,DETERIORATED,1.1,True,1785913374.8559942,warehouse_iot
A1023,False,NORMAL,21.7,True,1787173730.855998,warehouse_iot
A1024,False,NORMAL,19.3,True,1787805807.8560011,warehouse_iot
A1025,False,NORMAL,28.3,True,1786301067.8560052,warehouse_iot
A1026,False,NORMAL,30.4,True,1787207985.85601,warehouse_iot
A1027,False,NORMAL,34.5,True,1786877548.856014,warehouse_iot
A1028,False,NORMAL,32.3,False,1786658835.8560178,warehouse_iot
A1029,True,NORMAL,5.6,True,1786794233.8560221,warehouse_iot
A1030,False,NORMAL,0,True,1787306767.8560278,warehouse_iot
A1031,False,NORMAL,25.2,True,1787058053.856032,warehouse_iot
A1032,True,NORMAL,10.8,False,1786177994.8560379,warehouse_iot
A1033,False,NORMAL,26.0,True,1785414598.856042,warehouse_iot
A1034,False,NORMAL,35.6,True,1787293808.856046,warehouse_iot
A1035,True,DETERIORATED,32.7,True,1785635962.856051,warehouse_iot
A1036,False,NORMAL,0,True,1785969723.856055,warehouse_iot
